Aved›rev‘rket Blok 2,DK2,2,560,1,CKV_EX,0.091666667,0.073972603,48,-,0
H.C. rstedsv‘rket Sektion 2 (Blok 1-4),DK2,2,0,1,CKV_BP,0.091666667,0.073972603,48,-,0.7
H.C. rstedsv‘rket Blok 7,DK2,2,0,1,CKV_BP,0.091666667,0.073972603,48,-,0.7
H.C. rstedsv‘rket Blok 8,DK2,2,0,1,CKV_GT,0.093333333,0.073972603,48,-,0
Kyndbyv‘rket Blok 21,DK2,2,2,1,CKV_EX,0.091666667,0.073972603,48,-,0
Stigsn‘sv‘rket Blok 1,DK2,2,0,1,CKV_EX,0.091666667,0.073972603,48,-,0
Stigsn‘sv‘rket Blok 2,DK2,2,0,1,CKV_EX,0.091666667,0.073972603,48,-,0
Svanem›llev‘rket Blok 1-3,DK2,2,0,1,CKV_BP,0.091666667,0.073972603,48,-,0.7
Svanem›llev‘rket Blok 7,DK2,2,0,1,CKV_BP,0.091666667,0.073972603,48,-,0.7
stkraft Blok 6,DKBO,3,37,1,CKV_EX,0.091666667,0.073972603,48,-,0
Kyndbyv‘rket Blok 22,DK2,2,260,1,KYV22,0.093333333,0.073972603,48,-,0
Kyndbyv‘rket Blok 41,DK2,2,18,1,CKV_GT,0.093333333,0.073972603,48,-,0
Kyndbyv‘rket Blok 51,DK2,2,63,1,CKV_GT,0.093333333,0.073972603,48,-,0
Kyndbyv‘rket Blok 52,DK2,2,63,1,CKV_GT,0.093333333,0.073972603,48,-,0
Masned›v‘rket Blok 31,DK2,2,70,1,CKV_GT,0.093333333,0.073972603,48,-,0
stkraft Dieselv‘rk,DKBO,3,19.6,4,CKV_DI,0.093333333,0.073972603,48,-,0
stkraft Blok 5,DKBO,3,27.5,1,KYV22,0.093333333,0.073972603,48,-,0
stkraft Blok 7,DKBO,3,15,3,CKV_DI,0.093333333,0.073972603,48,-,0
Helsing›r_KV ,DK2,2,55,1,DKV_CC,0.05,0.073972603,48,-,0.7
Helsing›r_KV_GT ,DK2,2,0,1,DKV_CC,0.05,0.073972603,48,-,0
Helsing›r_KV_2 ,DK2,2,0,1,DKV_CC,0.05,0.073972603,48,-,0.7
Nordforbr‘nding_KV ,DK2,2,5.6,1,CKV_affald,0.05,0.057692308,48,-,0
Forbr‘ndingsmotor_Naturgas_Helsing›r ,DK2,2,0,1,DKV_GM,0.05,0.073972603,48,-,0.7
Hiller›d_KV ,DK2,2,0,1,DKV_CC,0.05,0.073972603,48,-,0.7
Hiller›d_KV_ORC ,DK2,2,5.12,1,DKV_bio,0.091666667,0.073972603,48,-,0.7
