NOmcap_MAF20_2025_MAF20_2030_T20_NT2040	2020	2021	2022	2023	2024	2025	2026	2027	2028																			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	ESPT	-	-			
DSR	0	320	640	960	1280	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	DSR	ESPT	-	-			
Battery	0	100	200	300	400	500	900	1300	1700	2100	2500	2928.1	3356.2	3784.3	4212.4	4640.5	5068.6	5496.7	5924.8	6352.9	6781	Battery	ESPT	-	-			
Reserves_ESPT	-1559	-1679	-1799	-1919	-2039	-2159	-2186.4	-2213.8	-2241.2	-2268.6	-2296	-2296	-2296	-2296	-2296	-2296	-2296	-2296	-2296	-2296	-2296	RS	ESPT	-	-			
																												
CHcap_MAF20_2025_MAF20_2030_T20_NT2040																												
CHcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	2200	2346	2492	2638	2784	2930	2857	2784	2711	2638	2565	2308.5	2052	1795.5	1539	1282.5	1026	769.5	513	256.5	0	NuclearCH	CH	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	CH	-	-			
Hard_Coal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	CH	-	-			
Gas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GasUdland	CH	-	-			
Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OlieUdland	CH	-	-			
Hydro-Run	4113	4113	4113	4113	4113	4113	4113	4113	4113	4113	4113	4113	4113	4113	4113	4113	4113	4113	4113	4113	4113	ROR	CH	-	HY_CH			
Hydro-turbine	8152	8152	8152	8152	8152	8152	8152	8152	8152	8152	8152	8152	8152	8152	8152	8152	8152	8152	8152	8152	8152	HydroRes	CH	-	-			
Hydro-pump	3989	3989	3989	3989	3989	3989	3989	3989	3989	3989	3989	3989	3989	3989	3989	3989	3989	3989	3989	3989	3989	HydroPumpCL	CH	-	-			
Wind-on-shore	135.0000054	144.0000043	153.0000032	162.0000021	171.0000011	180	195	210	225	240	255	279.5	304	328.5	353	377.5	402	426.5	451	475.5	500	Wind	CH	-	WL_CH			
Wind-off-shore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Wind	CH	-	WS_CH			
Solar-PV	2799.999952	3039.999962	3279.999971	3519.999981	3759.99999	4000	4300	4600	4900	5200	5500	5800	6100	6400	6700	7000	7300	7600	7900	8200	8500	Solar	CH	-	PV_CH			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	CH	-	PV_CH			
Other_RES	675	721.4	767.8	814.2	860.6	907	965	1023	1081	1139	1197	1197	1197	1197	1197	1197	1197	1197	1197	1197	1197	OtherRes_CH	CH	-	-			
Othernon-RES	781.437439	791.0732813	800.7091237	810.344966	819.9808084	829.6166507	841.6614554	853.7062602	865.7510649	877.7958696	889.8406743	889.7566068	889.6725394	889.588472	889.5044046	889.4203371	889.3362697	889.2522023	889.1681349	889.0840674	889	OtherNonRes_CH	CH	-	-			
Biofuels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Biofuels	CH	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	CH	-	-			
DSR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DSR	CH	-	-			
Battery	0	0	0	0	0	0	0	0	0	0	0	179.7	359.4	539.1	718.8	898.5	1078.2	1257.9	1437.6	1617.3	1797	Battery	CH	-	-			
ReservesCH	-869	-869	-869	-869	-869	-869	-869	-869	-869	-869	-869	-869	-869	-869	-869	-869	-869	-869	-869	-869	-869	RS	CH	-	-			
																												
ITcap_MAF20_2025_MAF20_2030_T20_NT2040																												
ITcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Nuclear	IT	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	IT	-	-			
Hard_Coal	6406	5124.8	3843.6	2562.4	1281.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	IT	-	-			
Gas	35267.46803	36659.50642	38051.54482	39443.58321	40835.62161	42227.66	42227.66	42227.66	42227.66	42227.66	42227.66	42411.194	42594.728	42778.262	42961.796	43145.33	43328.864	43512.398	43695.932	43879.466	44063	GasUdland	IT	-	-			
Oil	946	930	914	898	882	866	866	866	866	866	866	779.4	692.8	606.2	519.6	433	346.4	259.8	173.2	86.6	0	OlieUdland	IT	-	-			
Hydro-Run	5660.356735	5714.115533	5767.874331	5821.633128	5875.391926	5929.150724	5941.150704	5953.150684	5965.150664	5977.150644	5989.150624	5953.735561	5918.320499	5882.905436	5847.490374	5812.075312	5776.660249	5741.245187	5705.830125	5670.415062	5635	ROR	IT	-	HY_IT			
Hydro-turbine	9980.143158	9942.702857	9905.262556	9867.822254	9830.381953	9792.941652	9792.941652	9792.941652	9792.941652	9792.941652	9792.941652	9770.247487	9747.553322	9724.859157	9702.164991	9679.470826	9656.776661	9634.082496	9611.38833	9588.694165	9566	HydroRes	IT	-	HYlimit_IT			
Hydro-pump	7572	8154.8	8737.6	9320.4	9903.2	10486	10776	11066	11356	11646	11936	11932.3	11928.6	11924.9	11921.2	11917.5	11913.8	11910.1	11906.4	11902.7	11899	HydroPumpCL	IT	-	-			
Wind-on-shore	10923.90342	11870.29751	12816.69159	13763.08568	14709.47976	15655.87385	16204.70112	16753.52839	17302.35566	17851.18293	18400.0102	18774.00918	19148.00816	19522.00714	19896.00612	20270.0051	20644.00408	21018.00306	21392.00204	21766.00102	22140	Wind	IT	-	WL_IT			
Wind-off-shore	0	60	120	180	240	300	420	540	660	780	900	900	900	900	900	900	900	900	900	900	900	Wind	IT	-	WS_IT			
Solar-PV	23283.00178	24286.40007	25289.79837	26293.19666	27296.59495	28299.99324	32864.10484	37428.21643	41992.32803	46556.43962	51120.55121	52025.39609	52930.24097	53835.08585	54739.93073	55644.77561	56549.62049	57454.46536	58359.31024	59264.15512	60169	Solar	IT	-	PV_IT			
Solar-thermal	29.99999933	73.99999946	117.9999996	161.9999997	205.9999999	250	376	502	628	754	880	880	880	880	880	880	880	880	880	880	880	Solar	IT	-	PV_IT			
Other_RES	4496.579468	4495.774431	4494.969395	4494.164359	4493.359322	4492.554286	4536.905835	4581.257384	4625.608934	4669.960483	4714.312033	4735.980829	4757.649626	4779.318423	4800.98722	4822.656016	4844.324813	4865.99361	4887.662407	4909.331203	4931	OtherRes_IT	IT	-	-			
Othernon-RES	6199.790009	6811.432007	7423.074005	8034.716003	8646.358002	9258	9258	9258	9258	9258	9258	8930.6	8603.2	8275.8	7948.4	7621	7293.6	6966.2	6638.8	6311.4	5984	MustRun	IT	-	OtherNonRes_IT			
Biofuels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Biofuels	IT	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	IT	-	-			
DSR	0	463.2	926.4	1389.6	1852.8	2316	2316	2316	2316	2316	2316	2314.8	2313.6	2312.4	2311.2	2310	2308.8	2307.6	2306.4	2305.2	2304	DSR	IT	-	-			
Battery	0	7	14	21	28	35	335	635	935	1235	1535	1687.7	1840.4	1993.1	2145.8	2298.5	2451.2	2603.9	2756.6	2909.3	3062	Battery	IT	-	-			
ReservesIT	-4000	-4100	-4200	-4300	-4400	-4500	-4500	-4500	-4500	-4500	-4500	-4500	-4500	-4500	-4500	-4500	-4500	-4500	-4500	-4500	-4500	RS	IT	-	-			
																												
EELVLTcap_MAF20_2025_MAF20_2030_T20_NT2040																												
EELVLTcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Nuclear	EELVLT	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	EELVLT	-	-			
Hard_Coal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	EELVLT	-	-			
Gas	1043	1114.6	1186.2	1257.8	1329.4	1401	1401	1401	1401	1401	1401	1314	1227	1140	1053	966	879	792	705	618	531	GasUdland	EELVLT	-	-			
Oil	1098.799997	994.3999979	889.9999984	785.5999989	681.1999995	576.8	576.8	576.8	576.8	576.8	576.8	600.12	623.44	646.76	670.08	693.4	716.72	740.04	763.36	786.68	810	OlieUdland	EELVLT	-	-			
Hydro-Run	1728.045288	1722.19623	1716.347173	1710.498115	1704.649058	1698.8	1698.8	1698.8	1698.8	1698.8	1698.8	1702.52	1706.24	1709.96	1713.68	1717.4	1721.12	1724.84	1728.56	1732.28	1736	ROR	EELVLT	-	HY_EELVLT			
Hydro-turbine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HydroRes	EELVLT	-	-			
Hydro-pump	900	880	860	840	820	800	840	880	920	960	1000	1012.5	1025	1037.5	1050	1062.5	1075	1087.5	1100	1112.5	1125	HydroPumpCL	EELVLT	-	-			
Wind-on-shore	1022.426955	1245.991222	1469.555488	1693.119754	1916.68402	2140.248286	2204.998629	2269.748972	2334.499315	2399.249657	2464	2644.2	2824.4	3004.6	3184.8	3365	3545.2	3725.4	3905.6	4085.8	4266	Wind	EELVLT	-	WL_EELVLT			
Wind-off-shore	0	10.14851485	20.2970297	30.44554455	40.59405941	50.74257426	246.3366337	441.9306931	637.5247525	833.1188119	1028.712871	1116.541584	1204.370297	1292.19901	1380.027723	1467.856436	1555.685149	1643.513861	1731.342574	1819.171287	1907	Wind	EELVLT	-	WS_EELVLT			
Solar-PV	240.9999967	370.9999973	500.999998	630.9999987	760.9999993	891	976.8	1062.6	1148.4	1234.2	1320	1495.9	1671.8	1847.7	2023.6	2199.5	2375.4	2551.3	2727.2	2903.1	3079	Solar	EELVLT	-	PV_EELVLT			
Solar-thermal	0	1.6	3.2	4.8	6.4	8	12.4	16.8	21.2	25.6	30	32	34	36	38	40	42	44	46	48	50	Solar	EELVLT	-	CSP_EELVLT			
Other_RES	338.8289939	373.653314	408.4776341	443.3019542	478.1262743	512.9505944	520.7216191	528.4926438	536.2636685	544.0346932	551.8057179	530.4251462	509.0445744	487.6640026	466.2834308	444.902859	423.5222872	402.1417154	380.7611436	359.3805718	338	MustRun	EELVLT	-	OtherRes_EELVLT			
Othernon-RES	290	288	286	284	282	280	280	280	280	280	280	281.4	282.8	284.2	285.6	287	288.4	289.8	291.2	292.6	294	OtherNonRes_EELVLT	EELVLT	-	-			
Biofuels	233.2000027	233.2000021	233.2000016	233.2000011	233.2000005	233.2	233.2	233.2	233.2	233.2	233.2	209.88	186.56	163.24	139.92	116.6	93.28	69.96	46.64	23.32	0	Biofuels	EELVLT	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	EELVLT	-	-			
DSR	0	52	104	156	208	260	281	302	323	344	365	349.6	334.2	318.8	303.4	288	272.6	257.2	241.8	226.4	211	DSR	EELVLT	-	-			
Battery	0	0	0	0	0	0	0	0	0	0	0	91.7	183.4	275.1	366.8	458.5	550.2	641.9	733.6	825.3	917	Battery	EELVLT	-	-			
ReservesEELVLT	-1205	-1159	-1113	-1067	-1021	-975	-975	-975	-975	-975	-975	-975	-975	-975	-975	-975	-975	-975	-975	-975	-975	RS	EELVLT	-	-			
																												
PLcap_MAF20_2025_MAF20_2030_T20_NT2040																												
PLcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	0	0	0	0	0	0	0	0	0	0	0	560	1120	1680	2240	2800	3360	3920	4480	5040	5600	Nuclear	PL	-	-			
Lignite	7613.359985	7577.287988	7541.215991	7505.143994	7469.071997	7433	7433	7433	7433	7433	7433	6802.3	6171.6	5540.9	4910.2	4279.5	3648.8	3018.1	2387.4	1756.7	1126	KulUdland	PL	-	-			
Hard_Coal	12329.36985	12889.02546	13448.68108	14008.3367	14567.99232	15127.64794	14414.00731	13700.36668	12986.72604	12273.08541	11559.44478	11074.5003	10589.55583	10104.61135	9619.666869	9134.722391	8649.777913	8164.833434	7679.888956	7194.944478	6710	KulUdland	PL	-	-			
Gas	2016.367004	2413.293604	2810.220203	3207.146802	3604.073401	4001	4201	4401	4601	4801	5001	5501	6001	6501	7001	7501	8001	8501	9001	9501	10001	GasUdland	PL	-	-			
Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OlieUdland	PL	-	-			
Hydro-Run	536.5	530.501006	524.502012	518.503018	512.504024	506.50503	506.50503	506.50503	506.50503	506.50503	506.50503	509.454527	512.404024	515.353521	518.303018	521.252515	524.202012	527.151509	530.101006	533.050503	536	ROR	PL	-	HY_PL			
Hydro-turbine	183.8000031	183.7628824	183.7257618	183.6886412	183.6515206	183.6144	183.6144	183.6144	183.6144	183.6144	183.6144	183.55296	183.49152	183.43008	183.36864	183.3072	183.24576	183.18432	183.12288	183.06144	183	HydroRes	PL	-	-			
Hydro-pump	1501.799973	1501.839978	1501.879984	1501.919989	1501.959995	1502	1502	1502	1502	1502	1502	1501.9	1501.8	1501.7	1501.6	1501.5	1501.4	1501.3	1501.2	1501.1	1501	HydroPumpCL	PL	-	-			
Wind-on-shore	6517.221004	6917.176803	7317.132602	7717.088402	8117.044201	8517	8797.4	9077.8	9358.2	9638.6	9919	9697.1	9475.2	9253.3	9031.4	8809.5	8587.6	8365.7	8143.8	7921.9	7700	Wind	PL	-	WL_PL			
Wind-off-shore	0	0	0	0	0	0	720	1440	2160	2880	3600	4272	4944	5616	6288	6960	7632	8304	8976	9648	10320	Wind	PL	-	WS_PL			
Solar-PV	1185.197651	1935.158121	2685.118591	3435.079061	4185.03953	4935	5402	5869	6336	6803	7270	8558.6	9847.2	11135.8	12424.4	13713	15001.6	16290.2	17578.8	18867.4	20156	Solar	PL	-	PV_PL			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	PL	-	PV_PL			
Other_RES	871	1009.5486	1148.0972	1286.6458	1425.1944	1563.743	1686.143	1808.543	1930.943	2053.343	2175.743	2191.3687	2206.9944	2222.6201	2238.2458	2253.8715	2269.4972	2285.1229	2300.7486	2316.3743	2332	MustRun	PL	-	OtherRes_PL			
Othernon-RES	6782	6704.874177	6627.748354	6550.62253	6473.496707	6396.370884	6400.271877	6404.17287	6408.073863	6411.974856	6415.875849	6550.188264	6684.500679	6818.813094	6953.125509	7087.437924	7221.75034	7356.062755	7490.37517	7624.687585	7759	MustRun	PL	-	OtherNonRes_PL			
Biofuels	2179.11073	1784.888584	1390.666438	996.444292	602.222146	208	287.089	366.178	445.267	524.356	603.445	543.1005	482.756	422.4115	362.067	301.7225	241.378	181.0335	120.689	60.3445	0	Biofuels	PL	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	PL	-	-			
DSR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DSR	PL	-	-			
Battery	0	22.2	44.4	66.6	88.8	111	88.8	66.6	44.4	22.2	0	200	400	600	800	1000	1200	1400	1600	1800	2000	Battery	PL	-	-			
ReservesPL	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	RS	PL	-	-			
																												
CZSKcap_MAF20_2025_MAF20_2030_T20_NT2040																												
CZSKcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	6807.420044	6796.784035	6786.148026	6775.512018	6764.876009	6754.24	6754.24	6754.24	6754.24	6754.24	6754.24	6759.416	6764.592	6769.768	6774.944	6780.12	6785.296	6790.472	6795.648	6800.824	6806	NuclearCZSK	CZSK	-	-			
Lignite	5201.66146	5232.619361	5263.577263	5294.535165	5325.493066	5356.450968	5337.897168	5319.343368	5300.789568	5282.235768	5263.681968	4951.713771	4639.745574	4327.777378	4015.809181	3703.840984	3391.872787	3079.90459	2767.936394	2455.968197	2144	KulUdland	CZSK	-	-			
Hard_Coal	762.8014741	792.253363	821.705252	851.1571409	880.6090299	910.0609188	870.7830488	831.5051788	792.2273088	752.9494388	713.6715688	707.9044119	702.137255	696.3700982	690.6029413	684.8357844	679.0686275	673.3014706	667.5343138	661.7671569	656	KulUdland	CZSK	-	-			
Gas	2035.119987	2021.484213	2007.848438	1994.212664	1980.576889	1966.941115	1966.941115	1966.941115	1966.941115	1966.941115	1966.941115	1973.347003	1979.752892	1986.15878	1992.564669	1998.970557	2005.376446	2011.782334	2018.188223	2024.594111	2031	GasUdland	CZSK	-	-			
Oil	13.89999962	39.08599969	64.27199977	89.45799985	114.6439999	139.83	139.83	139.83	139.83	139.83	139.83	125.847	111.864	97.881	83.898	69.915	55.932	41.949	27.966	13.983	0	OlieUdland	CZSK	-	-			
Hydro-Run	1901.167603	1912.496964	1923.826325	1935.155686	1946.485048	1957.814409	1966.757309	1975.700209	1984.643109	1993.586009	2002.528909	1996.476018	1990.423127	1984.370236	1978.317345	1972.264455	1966.211564	1960.158673	1954.105782	1948.052891	1942	ROR	CZSK	-	HY_CZSK			
Hydro-turbine	700	700.034	700.068	700.102	700.136	700.17	700.17	700.17	700.17	700.17	700.17	700.153	700.136	700.119	700.102	700.085	700.068	700.051	700.034	700.017	700	HydroRes	CZSK	-	HYlimit_CZSK			
Hydro-pump	2084.059967	2083.647974	2083.23598	2082.823987	2082.411993	2082	2082	2082	2082	2082	2082	2082	2082	2082	2082	2082	2082	2082	2082	2082	2082	HydroPumpCL	CZSK	-	-			
Wind-on-shore	369.8385954	469.1158258	568.3930562	667.6702866	766.9475171	866.2247475	984.029697	1101.834646	1219.639596	1337.444545	1455.249495	1459.724545	1464.199596	1468.674646	1473.149697	1477.624747	1482.099798	1486.574848	1491.049899	1495.524949	1500	Wind	CZSK	-	WL_CZSK			
Wind-off-shore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Wind	CZSK	-	WS_CZSK			
Solar-PV	2853.226721	2975.219801	3097.212881	3219.205961	3341.199041	3463.192121	3795.255455	4127.318788	4459.382121	4791.445455	5123.508788	5214.557909	5305.60703	5396.656152	5487.705273	5578.754394	5669.803515	5760.852636	5851.901758	5942.950879	6034	Solar	CZSK	-	PV_CZSK			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	CZSK	-	PV_CZSK			
Other_RES	1152.349915	1156.409199	1160.468484	1164.527768	1168.587053	1172.646338	1173.100883	1173.555428	1174.009974	1174.464519	1174.919065	1195.627158	1216.335252	1237.043345	1257.751439	1278.459532	1299.167626	1319.875719	1340.583813	1361.291906	1382	MustRun	CZSK	-	OtherRes_CZSK			
Othernon-RES	1843.84333	1850.062983	1856.282635	1862.502287	1868.721939	1874.941591	1832.918522	1790.895453	1748.872384	1706.849315	1664.826246	1638.143622	1611.460997	1584.778372	1558.095748	1531.413123	1504.730498	1478.047874	1451.365249	1424.682625	1398	MustRun	CZSK	-	OtherNonRes_CZSK			
Biofuels	631.4470737	536.8808587	442.3146436	347.7484286	253.1822135	158.6159984	157.0538684	155.4917384	153.9296084	152.3674784	150.8053484	135.7248136	120.6442788	105.5637439	90.48320907	75.40267422	60.32213938	45.24160453	30.16106969	15.08053484	0	Biofuels	CZSK	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	CZSK	-	-			
DSR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DSR	CZSK	-	-			
Battery	0	54	108	162	216	270	306.6666687	343.3333374	380.0000061	416.6666748	453.3333435	594.1000092	734.8666748	875.6333405	1016.400006	1157.166672	1297.933337	1438.700003	1579.466669	1720.233334	1861	Battery	CZSK	-	-			
ReservesCZSK	-1857	-1839.1	-1821.2	-1803.3	-1785.4	-1767.5	-1782.5	-1797.5	-1812.5	-1827.5	-1842.5	-1842.5	-1842.5	-1842.5	-1842.5	-1842.5	-1842.5	-1842.5	-1842.5	-1842.5	-1842.5	RS	CZSK	-	-			
																												
HUcap_MAF20_2025_MAF20_2030_T20_NT2040																												
HUcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	1888	1890.4	1892.8	1895.2	1897.6	1900	2372	2844	3316	3788	4260	4070	3880	3690	3500	3310	3120	2930	2740	2550	2360	NuclearHU	HU	-	-			
Lignite	852	817.4	782.8	748.2	713.6	679	543.2	407.4	271.6	135.8	0	0	0	0	0	0	0	0	0	0	0	KulUdland	HU	-	-			
Hard_Coal	30.5	33.7	36.9	40.1	43.3	46.5	37.2	27.9	18.6	9.3	0	0	0	0	0	0	0	0	0	0	0	KulUdland	HU	-	-			
Gas	2260.400002	2241.400001	2222.400001	2203.400001	2184.4	2165.4	2156.12	2146.84	2137.56	2128.28	2119	1949.8	1780.6	1611.4	1442.2	1273	1103.8	934.6	765.4	596.2	427	GasUdland	HU	-	-			
Oil	410	328	246	164	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OlieUdland	HU	-	-			
Hydro-Run	56	55.8	55.6	55.4	55.2	55	55	55	55	55	55	55.2	55.4	55.6	55.8	56	56.2	56.4	56.6	56.8	57	ROR	HU	-	HY_HU			
Hydro-turbine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HydroRes	HU	-	-			
Hydro-pump	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HydroPumpCL	HU	-	-			
Wind-on-shore	325.00001	325.160008	325.320006	325.480004	325.640002	325.8	325.8	325.8	325.8	325.8	325.8	293.22	260.64	228.06	195.48	162.9	130.32	97.74	65.16	32.58	0	Wind	HU	-	WL_HU			
Wind-off-shore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Wind	HU	-	WS_HU			
Solar-PV	3600.000054	3635.389883	3670.779712	3706.169541	3741.559371	3776.9492	4312.3692	4847.7892	5383.2092	5918.6292	6454.0492	6508.64428	6563.23936	6617.83444	6672.42952	6727.0246	6781.61968	6836.21476	6890.80984	6945.40492	7000	Solar	HU	-	PV_HU			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	HU	-	PV_HU			
Other_RES	258	291.26	324.52	357.78	391.04	424.3	488.46	552.62	616.78	680.94	745.1	710.99	676.88	642.77	608.66	574.55	540.44	506.33	472.22	438.11	404	MustRun	HU	-	OtherRes_HU			
Othernon-RES	527	476.7402	426.4804	376.2206	325.9608	275.701	244.3632	213.0254	181.6876	150.3498	119.012	152.5108	186.0096	219.5084	253.0072	286.506	320.0048	353.5036	387.0024	420.5012	454	MustRun	HU	-	OtherNonRes_HU			
Biofuels	134.5999985	143.7999988	152.9999991	162.1999994	171.3999997	180.6	165.7	150.8	135.9	121	106.1	95.49	84.88	74.27	63.66	53.05	42.44	31.83	21.22	10.61	0	Biofuels	HU	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	HU	-	-			
DSR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DSR	HU	-	-			
Battery	0	0	0	0	0	0	0	0	0	0	0	126.1	252.2	378.3	504.4	630.5	756.6	882.7	1008.8	1134.9	1261	Battery	HU	-	-			
ReservesHU	-580	-664	-748	-832	-916	-1000	-1110	-1220	-1330	-1440	-1550	-1550	-1550	-1550	-1550	-1550	-1550	-1550	-1550	-1550	-1550	RS	HU	-	-			
																												
DK1cap_																												
DK1cap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Esbjergvaerket_Blok_3	373.3	373.3	373.3	373.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_EX	DK1	1	-			
Esbjergvaerket_Blok_3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_BP	DK1	1	-			
Fynsvaerket_Blok_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_EX	DK1	1	-			
Fynsvaerket_Blok_7.1	250	250	250	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	CKV_BP	DK1	1	-			
Fynsvaerket_Blok_7.2	0	0	0	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	CKV_BP	DK1	1	-			
Fynsvaerket_Blok_8	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	CKV_BP	DK1	1	-			
Herningvaerket_-	90.4	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	CKV_BP	DK1	1	-			
Nordjyllandsvaerket_Blok_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_EX	DK1	1	-			
Nordjyllandsvaerket_Blok_3	385	385	385	385	385	385	385	385	385	0	0	0	0	0	0	0	0	0	0	0	0	CKV_EX	DK1	1	-			
Nordjyllandsvaerket_Blok_3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_BP	DK1	1	-			
Skaerbaekvaerket_Blok_3	392	392	392	392	392	392	392	392	392	392	392	392	392	392	392	392	392	392	392	392	392	CKV_EX	DK1	1	-			
Studstrupvaerket_Blok_3	357	357	357	357	357	357	357	357	357	357	357	0	0	0	0	0	0	0	0	0	0	CKV_EX	DK1	1	-			
Studstrupvaerket_Blok_4	357	357	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_EX	DK1	1	-			
Studstrupvaerket_Blok_5	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	CKV_GT	DK1	1	-			
Randersvaerket_-	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	CKV_BP	DK1	1	-			
Hjoerring_KV_	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	56.15	DKV_CC	DK1	1	-			
AVV-Forbraending_KV_	4.6	4.6	4.6	4.6	4.6	4.6	4.6	4.6	4.6	4.6	3.22	3.22	3.22	3.22	3.22	3.22	3.22	3.22	3.22	3.22	3.22	DKV_affald	DK1	1	-			
Frederikshavn_KV_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_GT	DK1	1	-			
