NOmcap_MAF20_2025_MAF20_2030_T20_NT2040	2020	2021	2022	2023	2024	2025	2026	2027	2028																			
Wind-on-shore	1525.372505	1933.775204	2342.177903	2750.580602	3158.983301	3567.386	3694.0264	3820.6668	3947.3072	4073.9476	4200.588	4327.1292	4453.6704	4580.2116	4706.7528	4833.294	4959.8352	5086.3764	5212.9176	5339.4588	5466	Wind	SE1	-	WL_SE1			
Wind-off-shore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Wind	SE1	-	WS_SE1			
Solar-PV	0	0.8436446	1.6872892	2.5309338	3.3745784	4.218223	5.6242964	7.0303698	8.4364432	9.8425166	11.24859	12.123731	12.998872	13.874013	14.749154	15.624295	16.499436	17.374577	18.249718	19.124859	20	Solar	SE1	-	PV_SE1			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	SE1	-	PV_SE1			
Other_RES	280.8571472	282.0657178	283.2742883	284.4828589	285.6914294	286.9	286.9	286.9	286.9	286.9	286.9	285.81	284.72	283.63	282.54	281.45	280.36	279.27	278.18	277.09	276	MustRun	SE1	-	OtherRes_SE1			
Othernon-RES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OtherNONRE	SE1	-	ICHP			
Biofuels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Biofuels	SE1	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	SE1	-	-			
DSR	0	34.097142	68.194284	102.291426	136.388568	170.48571	179.228568	187.971426	196.714284	205.457142	214.2	192.78	171.36	149.94	128.52	107.1	85.68	64.26	42.84	21.42	0	DSR	SE1	-	-			
Battery	0	0	0	0	0	0	0	0	0	0	0	34	68	102	136	170	204	238	272	306	340	Battery	SE1	-	-			
ReservesSE1	0	-82	-164	-246	-328	-410	-410	-410	-410	-410	-410	-410	-410	-410	-410	-410	-410	-410	-410	-410	-410	RS	SE1	-	-			
																												
SE2cap_MAF20_2025_MAF20_2030_T20_NT2040																												
SE2cap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NuclearSweden	SE2	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	SE2	-	-			
