Information about parameters in run for file test.txt
Options: 
Simulation year: 2035
Climate year: 1985
TYNDP report: 2030
UsePlannedDownTime: True
UseUnplannedDownTime: True
demFlexKlassisk: 0.25
demFlexCVP: 0.95
demFlexPtX: 1
demFlexTransport: 0.2
Storebaelt2: False
oresundOpen: False
EnergyIslandEast: True
EnergyIslandWest: True
DK1
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Wind-on-shore	Wind_SE4	3302.322	1	0.0	0.0	0.0	0.0	WL_SE4
Wind-off-shore	Wind_SE4	570.97405	1	0.0	0.0	0.0	0.0	WS_SE4
Solar-PV	Solar_SE4	1468.868	1	0.0	0.0	0.0	0.0	PV_SE4
Other_RES	MustRun_SE4	723.4445	1	0.0	0.0	0.0	0.0	OtherRes_SE4
Hydro-turbine	HydroRes_SE4	347.0	6	0.11	0.05	48.0	0.0	-
DSR	DSR_SE4	132.3	13	0.05	0.25	48.0	0.0	-
Battery	Battery_SE4	378.0	37	0.05	0.2	48.0	0.0	-
ReservesSE4	RS_SE4	-50.0	1	0.0	0.0	0.0	0.0	-
demandSE4	demandSE4	25.97274199379133	1	0	0	0	0	SE4demand


FI
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Wind-on-shore	Wind_FI	13252.4025	1	0.0	0.0	0.0	0.0	WL_FI
Wind-off-shore	Wind_FI	42.0	1	0.0	0.0	0.0	0.0	WS_FI
Solar-PV	Solar_FI	1240.0	1	0.0	0.0	0.0	0.0	PV_FI
Other_RES	MustRun_FI	2913.0	1	0.0	0.0	0.0	0.0	OtherRes_FI
Othernon-RES	MustRun_FI	2420.0	1	0.0	0.0	0.0	0.0	OtherNonRes_FI
Nuclear	NuclearFinland_FI	4042.0	4	0.039	0.05	96.0	0.0	-
Hard_Coal	KulUdland_FI	471.55	1	0.073972603	0.091666667	48.0	0.0	-
Gas	GasUdland_FI	759.5	7	0.073972603	0.05	48.0	0.0	-
Hydro-turbine	HydroRes_FI	3199.999	63	0.11	0.05	48.0	0.0	-
Biofuels	Biofuels_FI	494.95	9	0.073972603	0.091666667	48.0	0.0	-
DSR	DSR_FI	6309.5	630	0.05	0.25	48.0	0.0	-
Battery	Battery_FI	950.0	95	0.05	0.2	48.0	0.0	-
ReservesFI	RS_FI	-1700.0	1	0.0	0.0	0.0	0.0	-
demandFI	demandFI	113.13359655439828	1	0	0	0	0	FIdemand


DELU
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Hydro-Run	ROR_DELU	4097.4644	1	0.0	0.0	0.0	0.0	HY_DELU
